nr,typ_nosnika,miasto,adres,szerokosc_m,wysokosc_m,powierzchnia_m2,podswietlany,cena,jednostka_ceny,cena_netto,price_negotiable,email_kontaktowy,telefon,status,link_zdjecia,ma_zdjecie,url_zrodlo
058_02,billboard,Kłodzko,ul. Noworudzka,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/058_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/058_02/klodzko---ul-noworudzka
059_01,billboard,Kłodzko,Ul.Noworudzka,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/059_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/059_01/klodzko---ulnoworudzka
059_02,billboard,Kłodzko,Ul.Noworudzka,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/059_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/059_02/klodzko---ulnoworudzka
060,billboard,Kłodzko,Ul.Noworudzka,5.03,2.4,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/060_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/060/klodzko---ulnoworudzka
068_01,billboard,Polanica Zdrój,Biedronka,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/068_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/068_01/polanica-zdroj---biedronka
068_02,billboard,Polanica Zdrój,Biedronka,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/068_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/068_02/polanica-zdroj---biedronka
069,billboard,Kłodzko,"Centrum, przy markecie E.Leclerc",5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/069_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/069/klodzko---centrum-przy-markecie-eleclerc
072,billboard,Braszowice,Wyjazd z terenu zabudowanego,10.24,2.35,24,,1080,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/072_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/072/braszowice---wyjazd-z-terenu-zabudowanego
073,billboard,Żelazno,Pałac Żelazno,12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/073_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/073/zelazno---palac-zelazno
075_01,billboard,Ząbkowice Śląskie,,12.2,2.86,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/075_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/075_01/zabkowice-slaskie
075_02,billboard,Ząbkowice Śląskie,Pierwsze światła od Wrocławia,12.2,2.86,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/075_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/075_02/zabkowice-slaskie---pierwsze-swiatla-od-wroclawia
076,billboard,Wilków wielki,Przy drodze krajowej nr 8,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/076_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/076/wilkow-wielki---przy-drodze-krajowej-nr-8
078,billboard,Nowa Ruda,"Słupiec, przy CH Intermarche",5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/078_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/078/nowa-ruda---slupiec-przy-ch-intermarche
079,billboard,Szalejów Górny,Wyjazd na drogę krajową nr8,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/079_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/079/szalejow-gorny---wyjazd-na-droge-krajowa-nr8
082_01,billboard,Kłodzko,"Rondo przy Galerii Twierdza, ul.Objazdowa",10.24,2.35,24,,1080,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/082_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/082_01/klodzko---rondo-przy-galerii-twierdza-ulobjazdowa
084_01,billboard,Ząbkowice Śląskie,Wjazd od strony Wrocławia,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/084_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/084_01/zabkowice-slaskie---wjazd-od-strony-wroclawia
084_02,billboard,Ząbkowice Śląskie,Wyjazd w kierunku Wrocławia,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/084_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/084_02/zabkowice-slaskie---wyjazd-w-kierunku-wroclawia
088_01,billboard,Żelazno,Pałac Żelazno,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/088_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/088_01/zelazno---palac-zelazno
088_02,billboard,Żelazno,Pałac Żelazno,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/088_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/088_02/zelazno---palac-zelazno
090,billboard,Kłodzko,"Wjazd od Bystrzycy, ul.Wyspiańskiego",5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/090_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/090/klodzko---wjazd-od-bystrzycy-ulwyspianskiego
092,billboard,Kłodzko,"Rondo przy Galerii Twierdza, ul.Noworudzka",10.14,2.35,24,,1080,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/092_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/092/klodzko---rondo-przy-galerii-twierdza-ulnoworudzka
095,billboard,Kłodzko,"Boguszyn, wjazd do Kłodzko",6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/095_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/095/klodzko---boguszyn-wjazd-do-klodzko
097_01,billboard,Kłodzko,Obwodnica Kłodzka,9.07,2.88,26,,1170,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/097_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/097_01/klodzko---obwodnica-klodzka
097_02,billboard,Kłodzko,Obwodnica Kłodzka,9.07,2.88,26,,1170,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/097_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/097_02/klodzko---obwodnica-klodzka
098_01,billboard,Kłodzko,Obwodnica Kłodzka,9.07,2.88,26,,1170,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/098_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/098_01/klodzko---obwodnica-klodzka
098_02,billboard,Kłodzko,Obwodnica Kłodzka,9.07,2.88,26,,1170,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/098_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/098_02/klodzko---obwodnica-klodzka
101,billboard,Złoty Stok,Przy stacji benzynowej.,5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/101_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/101/zloty-stok---przy-stacji-benzynowej
104,billboard,Kłodzko,"Rondo przy Galerii Twierdza, ul.Noworudzka",10.24,2.35,24,,1080,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/104_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/104/klodzko---rondo-przy-galerii-twierdza-ulnoworudzka
112,billboard,Kłodzko,"Jaszkówka, wjazd od Nysy",6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/112_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/112/klodzko---jaszkowka-wjazd-od-nysy
113_01,billboard,Kłodzko,ul. Noworudzka,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/113_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/113_01/klodzko---ul-noworudzka
113_02,billboard,Kłodzko,ul. Noworudzka,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/113_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/113_02/klodzko---ul-noworudzka
115_01,billboard,Kłodzko,"Orlen, ul.Dusznicka",12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/115_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/115_01/klodzko---orlen-uldusznicka
115_02,billboard,Kłodzko,"Orlen, ul.Dusznicka",12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/115_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/115_02/klodzko---orlen-uldusznicka
117,billboard,Kłodzko,Rondo obok Castoramy,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/117_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/117/klodzko---rondo-obok-castoramy
125_01,billboard,Kłodzko,Rondo obok Castoramy,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/125_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/125_01/klodzko---rondo-obok-castoramy
127,billboard,Kudowa Zdrój,Jeleniów,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/127_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/127/kudowa-zdroj---jeleniow
129,billboard,Kudowa Zdrój,Jeleniów,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/129_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/129/kudowa-zdroj---jeleniow
130,billboard,Bystrzyca Kłodzka,ul. Sienkiewicza (kier. centrum),5.0,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/130_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/130/bystrzyca-klodzka---ul-sienkiewicza-kier-centrum
131,billboard,Kudowa Zdrój,Jeleniów,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/131_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/131/kudowa-zdroj---jeleniow
133,billboard,Nowa Ruda,"Słupiec, naprzeciw marketu Intermarche",5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/133_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/133/nowa-ruda---slupiec-naprzeciw-marketu-intermarche
134_01,billboard,Bystrzyca Kłodzka,obwodnica miasta,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/134_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/134_01/bystrzyca-klodzka---obwodnica-miasta
134_02,billboard,Bystrzyca Kłodzka,obwodnica miasta,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/134_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/134_02/bystrzyca-klodzka---obwodnica-miasta
135_01,billboard,Bystrzyca Kłodzka,obwodnica miasta,9.07,2.88,26,,1170,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/135_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/135_01/bystrzyca-klodzka---obwodnica-miasta
135_02,billboard,Bystrzyca Kłodzka,wyjazd na obwodnicę,9.07,2.88,26,,1170,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/135_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/135_02/bystrzyca-klodzka---wyjazd-na-obwodnice
137_01,billboard,Bystrzyca Kłodzka,wyjazd na obwodnicę miasta,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/137_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/137_01/bystrzyca-klodzka---wyjazd-na-obwodnice-miasta
137_02,billboard,Bystrzyca Kłodzka,wjazd do miasta,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/137_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/137_02/bystrzyca-klodzka---wjazd-do-miasta
138_01,billboard,Bystrzyca Kłodzka,"ul. Sienkiewicza, obok Netto",5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/138_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/138_01/bystrzyca-klodzka---ul-sienkiewicza-obok-netto
141,billboard,Łagiewniki,Przy stacji Orlen,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/141_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/141/lagiewniki---przy-stacji-orlen
143,billboard,Łagiewniki,Przy stacji Orlen,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/143_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/143/lagiewniki---przy-stacji-orlen
145_01,billboard,Nowa Ruda,"Słupiec, przy przejeździe kolejowym",5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/145_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/145_01/nowa-ruda---slupiec-przy-przejezdzie-kolejowym
145_02,billboard,Nowa Ruda,"Słupiec, przy przejeździe kolejowym.",5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/145_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/145_02/nowa-ruda---slupiec-przy-przejezdzie-kolejowym
147,billboard,Kudowa Zdrój,Jeleniów,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/147_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/147/kudowa-zdroj---jeleniow
148_01,billboard,"Jordanów Śląski, skrzyżowanie",Przy drodze krajowej nr 8,12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/148_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/148_01/jordanow-slaski-skrzyzowanie---przy-drodze-krajowej-nr-8
149_01,billboard,Ząbkowice Śląskie,,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/149_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/149_01/zabkowice-slaskie
149_02,billboard,Ząbkowice Śląskie,,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/149_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/149_02/zabkowice-slaskie
151_01,billboard,"Jordanów Śląski, skrzyżowanie",Przy drodze krajowej nr 8,12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/151_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/151_01/jordanow-slaski-skrzyzowanie---przy-drodze-krajowej-nr-8
158,billboard,Kłodzko,"Ul.Objazdowa, obok Agrolu",6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/158_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/158/klodzko---ulobjazdowa-obok-agrolu
